"rxnID"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"	"RHEA_ID"	"RHEA_ID2"	"metnetID"	"metnetID2"	"formula_metnet"	"formula_metnet_balance"	"Equation"	"formula_rhea"	"reverse"
"R06513"	"5-EC1118_1F14_0056g"	" dTDP-glucose <=> dTDP-4-oxo-6-deoxy-D-glucose + H2O"	"dTDPglucose 4,6-hydro-lyase"	"K01710"	"path:map00521;path:map00523;path:map00525;path:map01055;path:map01130"	"sce00521  Streptomycin biosynthesis;sce00523  Polyketide sugar unit biosynthesis;sce00525  Acarbose and validamycin biosynthesis;sce01055  Biosynthesis of vancomycin group antibiotics;sce01130  Biosynthesis of antibiotics"	"rhea:17221"	"NA"	NA	"MNXR104761"	"1 `dTDP-alpha-D-glucose` = 1 `H2O` + 1 `dTDP-4-dehydro-6-deoxy-alpha-D-glucose`"	"true"	"1 MNXM1376@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM451@MNXD1"	"dTDP-alpha-D-glucose => dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O;dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O => dTDP-alpha-D-glucose"	"yes"
"R01157"	"7-EC1118_1F14_0089g"	" Agmatine + H2O <=> Putrescine + Urea"	"Agmatine amidinohydrolase"	"K01480"	"path:map00330;path:map01100"	"sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"	"rhea:13929"	"NA"	NA	"MNXR95554"	"1 `urea` + 1 `putrescine` = 1 `H2O` + 1 `agmatine`"	"true"	"1 MNXM117@MNXD1 + 1 MNXM118@MNXD1 = 1 MNXM2@MNXD1 + 1 MNXM328@MNXD1"	"agmatine + H2O => putrescine + urea;putrescine + urea => agmatine + H2O"	"yes"
"R02454"	"23-EC1118_1O4_6546g"	" D-Mannonate + NAD+ <=> D-Fructuronate + NADH + H+"	"D-Mannonate:NAD+ 5-oxidoreductase"	"K00040"	"path:map00040;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce01100  Metabolic pathways"	"rhea:15729"	"NA"	NA	"MNXR101389"	"1 `D-mannonate` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 1 `D-fructuronate`"	"true"	"1 MNXM1045@MNXD1 + 1 MNXM8@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1660@MNXD1"	"D-mannonate + NAD(+) => keto-D-fructuronate + H(+) + NADH;keto-D-fructuronate + H(+) + NADH => D-mannonate + NAD(+)"	"yes"
"R07346"	"27-EC1118_1O4_6612g"	" D-Sorbitol + NADP+ <=> L-Sorbose + NADPH + H+"	"D-glucitol:NADP+ oxidoreductase"	"K17742"	"path:map00051"	"sce00051  Fructose and mannose metabolism"	"rhea:14609"	"NA"	NA	"MNXR111009"	"1 `H(+)` + 1 `L-sorbopyranose` + 1 `NADPH` = 1 `D-sorbitol` + 1 `NADP(+)`"	"true"	"1 MNXM1@MNXD1 + 1 MNXM588@MNXD1 + 1 MNXM6@MNXD1 = 1 MNXM469@MNXD1 + 1 MNXM5@MNXD1"	"D-sorbitol + NADP(+) => L-sorbopyranose + H(+) + NADPH;L-sorbopyranose + H(+) + NADPH => D-sorbitol + NADP(+)"	"yes"
"R01101"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Melibiose + H2O <=> D-Galactose + D-Glucose"	"melibiose galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"rhea:28663"	"NA"	NA	"MNXR126346"	"1 `beta-D-glucose` + 1 `alpha-D-galactose` = 1 `melibiose` + 1 `H2O`"	"true"	"1 MNXM105@MNXD1 + 1 MNXM390@MNXD1 = 1 MNXM1434@MNXD1 + 1 MNXM2@MNXD1"	"H2O + melibiose => alpha-D-galactose + beta-D-glucose;alpha-D-galactose + beta-D-glucose => H2O + melibiose"	"yes"
"R01103"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Raffinose + H2O <=> D-Galactose + Sucrose"	"Raffinose galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R01104"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" 3-beta-D-Galactosyl-sn-glycerol + H2O <=> D-Galactose + Glycerol"	"Galactosylglycerol galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R01194"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" alpha-D-Galactosyl-(1->3)-1D-myo-inositol + H2O <=> myo-Inositol + D-Galactose"	"3-O-alpha-D-Galactosyl-1D-myo-inositol galactohydrolase; 1-alpha-D-Galactosyl-myo-inositol galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R01329"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Epimelibiose + H2O <=> D-Mannose + D-Galactose"	"Epimelibiose galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
"R02926"	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	" Melibiitol + H2O <=> D-Sorbitol + D-Galactose"	"Melibiitol galactohydrolase"	"K07407"	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"	"NA"	"NA"	NA	NA	NA	"NA"	NA	NA	"not sure"
