qseqid	ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalues	bitscore	annotation
19-EC1118_1O4_6491g	gnl|TC-DB|P39709|2.A.1.14.37	73.2	589	152	3	1	1761	1	585	7.40E-257	882.9	Probable transporter SEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEO1 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P39924|2.A.1.1.110	72.5	461	127	0	91	1473	18	478	4.10E-195	677.6	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P54854|2.A.1.1.107	70.4	467	138	0	73	1473	15	481	4.70E-191	664.1	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P39004|2.A.1.1.31	56.2	491	209	3	1	1473	1	485	1.00E-156	550.1	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P13181|2.A.1.1.6	58.6	442	182	1	148	1473	51	491	2.10E-154	542.3	Galactose transporter (Galactose permease) - Saccharomyces cerevisiae (Baker's yeast).
24-EC1118_1O4_6557g	gnl|TC-DB|P32467|2.A.1.1.30	52	492	231	3	7	1473	2	491	3.10E-150	528.5	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).
24-EC1118_1O4_6557g	gnl|TC-DB|P32465|2.A.1.1.108	51.3	485	234	2	22	1473	2	485	1.10E-147	520	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P23585|2.A.1.1.111	52.7	469	219	3	73	1473	9	476	3.20E-147	518.5	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|P43581|2.A.1.1.5	52.7	471	220	3	61	1473	2	469	1.20E-146	516.5	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).
24-EC1118_1O4_6557g	gnl|TC-DB|P54862|2.A.1.1.105	56.3	437	188	2	169	1473	48	483	2.10E-146	515.8	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1
24-EC1118_1O4_6557g	gnl|TC-DB|Q2MDH1|2.A.1.1.67	49.4	466	230	4	85	1473	5	467	6.10E-138	487.6	Glucose/xylose facilitator 1 OS=Candida intermedia GN=gxf1 PE=3 SV=1
25-EC1118_1O4_6568g	gnl|TC-DB|Q12359|2.A.96.1.5	58.2	177	72	2	4	531	99	274	1.40E-52	202.6	Ammonia transport outward protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATO3 PE=1 SV=1
29-EC1118_1O4_6634g	gnl|TC-DB|Q8NJ22|2.A.1.1.33	67.6	561	171	4	13	1680	2	556	7.20E-209	723.4	Hexose transporter (Similarity) - Kluyveromyces lactis (Yeast).
29-EC1118_1O4_6634g	gnl|TC-DB|A8DCT2|2.A.1.1.126	50.1	543	263	5	67	1683	5	543	1.90E-140	496.1	Putative sugar transporter OS=Gibberella moniliformis GN=FST1 PE=3 SV=1
29-EC1118_1O4_6634g	gnl|TC-DB|Q0ULF7|2.A.1.1.70	48.7	557	265	7	13	1665	2	543	1.70E-138	489.6	Putative uncharacterized protein OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) GN=SNOG_07407 PE=3 SV=1
46-PUT_LAC_TRASP-R.14850-	gnl|TC-DB|P07921|2.A.1.1.9	46.7	486	259	0	618	2075	58	543	1.50E-128	457.2	Lactose permease - Kluyveromyces lactis (Yeast).
47-RTM1-R.14851-	gnl|TC-DB|P40100|9.A.26.1.3	60.9	307	114	2	1	921	1	301	4.10E-97	351.3	Uncharacterized protein YER185W - Saccharomyces cerevisiae (Baker's yeast).
59-augustus_masked-1113-BMC_1	gnl|TC-DB|P43548|2.A.3.10.14	89.4	160	17	0	79	558	1	160	2.10E-75	278.5	General amino acid permease AGP3 - Saccharomyces cerevisiae (Baker's yeast).
69-augustus_masked-11590-BAL_7	gnl|TC-DB|P40100|9.A.26.1.3	86.8	303	40	0	1	909	1	303	3.80E-140	494.2	Uncharacterized protein YER185W - Saccharomyces cerevisiae (Baker's yeast).
