"panID"	"ID"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"ec"	"annotation"
"YAL005C"	"gnl|TC-DB|P08107|1.A.33.1.3"	74.5	642	155	3	4	642	6	641	1.4e-269	925.2	"1.A.33.1.3"	"Heat shock 70 kDa protein 1 (HSP70.1) (HSP70-1/HSP70-2) - Homo sapiens (Human)."
"YAL005C"	"gnl|TC-DB|P22953|1.A.33.1.1"	67.1	645	204	4	4	642	9	651	1.7e-238	822	"1.A.33.1.1"	"HEAT SHOCK COGNATE 70 KDA PROTEIN 1 (HSC70.1) - Arabidopsis thaliana (Mouse-ear cress)."
"YAL005C"	"gnl|TC-DB|P11021|1.A.33.1.6"	65.5	611	204	4	5	610	31	639	4.9e-222	767.3	"1.A.33.1.6"	"78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2"
"YAL005C"	"gnl|TC-DB|Q02028|3.A.9.1.1"	50.8	614	284	9	3	611	69	669	1.1e-157	553.5	"3.A.9.1.1"	"Stromal 70 kDa heat shock-related protein, chloroplast precursor - Pisum sativum (Garden pea)."
"YAL005C"	"gnl|TC-DB|P0A6Y8|1.A.33.1.2"	50.8	612	278	11	1	602	1	599	1.9e-157	552.7	"1.A.33.1.2"	"Chaperone protein dnaK - Escherichia coli."
"YAL005C"	"gnl|TC-DB|G4NXA5|1.A.33.1.4"	47.7	612	277	9	1	607	1	574	2.7e-151	532.3	"1.A.33.1.4"	"Chaperone protein DnaK OS=Bacillus subtilis subsp. spizizenii TU-B-10 GN=dnaK PE=3 SV=1"
"YAL010C"	"gnl|TC-DB|P18409|1.B.33.3.1"	100	493	0	0	1	493	1	493	5.7e-287	982.6	"1.B.33.3.1"	"Mitochondrial inheritance component MDM10 - Saccharomyces cerevisiae (Baker's yeast)."
"YAL010C"	"gnl|TC-DB|P18409|1.B.8.6.1"	100	493	0	0	1	493	1	493	5.7e-287	982.6	"1.B.8.6.1"	"Mitochondrial inheritance component MDM10 - Saccharomyces cerevisiae (Baker's yeast)."
"YAL010C"	"gnl|TC-DB|P18409|9.A.58.1.1"	100	493	0	0	1	493	1	493	5.7e-287	982.6	"9.A.58.1.1"	"Mitochondrial inheritance component MDM10 - Saccharomyces cerevisiae (Baker's yeast)."
"YAL018C"	"gnl|TC-DB|P31379|2.A.121.2.1"	100	325	0	0	1	325	1	325	2.4e-180	627.9	"2.A.121.2.1"	"Uncharacterized membrane protein YAL018C - Saccharomyces cerevisiae (Baker's yeast)."
"YAL022C"	"gnl|TC-DB|P31381|2.A.57.3.1"	100	517	0	0	1	517	1	517	1.3e-260	895.2	"2.A.57.3.1"	"NUCLEOSIDE TRANSPORTER FUN26 - Saccharomyces cerevisiae (Baker's yeast)."
"YAL025C"	"gnl|TC-DB|A9V8N9|1.A.77.1.13"	59.6	193	75	3	3	195	330	519	4.3e-59	224.9	"1.A.77.1.13"	"Predicted protein OS=Monosiga brevicollis GN=33945 PE=4 SV=1"
"YAL026C"	"gnl|TC-DB|P39524|3.A.3.8.2"	99.3	1355	9	0	1	1355	1	1355	0	2648.2	"3.A.3.8.2"	"POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast)."
