"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"collapsed_sign"	"Remark"	"panID_b"	"AAlength_b"	"panID_p"	"AAlength_p"	"CHECK"
"S000000043"	"YAL045C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"	"Dubious"	NA	NA	"1818-YAL044W-A_NumOfGenes_2"	NA	"find panID based blast"	"1818-YAL044W-A_NumOfGenes_2"	"93"	"1818-YAL044W-A_NumOfGenes_2"	"93"	TRUE
"S000000073"	"YAR020C"	"S. cerevisiae"	"PAU7"	"seriPAUperin family"	"Member of the seripauperin multigene family"	"Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"	"Verified"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"3542-YFL020C_NumOfGenes_2"	NA	"find panID based blast"	"3542-YFL020C_NumOfGenes_2"	"55"	"3542-YFL020C_NumOfGenes_2"	"55"	TRUE
"S000000079"	"YAR033W"	"S. cerevisiae"	"MST28"	"Multicopy suppressor of Sec Twenty one"	"Putative integral membrane protein, involved in vesicle formation"	"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication"	"Verified"	NA	NA	"3698-YGL051W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"3698-YGL051W_NumOfGenes_2"	"235"	"3698-YGL051W_NumOfGenes_2"	"235"	TRUE
"S000000089"	"YAR064W"	"S. cerevisiae"	NA	NA	"Pseudogenic fragment with similarity to flocculins"	"Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication"	"Uncharacterized"	"Protein whose biological role and cellular location are unknown|uniprot_proteome=UP000002311"	NA	"4475-YHR213W-B_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"4475-YHR213W-B_NumOfGenes_2"	"100"	"4475-YHR213W-B_NumOfGenes_2"	"100"	TRUE
"S000000092"	"YAR069C"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication"	"Dubious"	NA	NA	"4476-YHR214C-D_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"4476-YHR214C-D_NumOfGenes_2"	"98"	"4476-YHR214C-D_NumOfGenes_2"	"98"	TRUE
"S000000094"	"YAR071W"	"S. cerevisiae"	"PHO11"	"PHOsphate metabolism"	"One of three repressible acid phosphatases"	"One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication"	"Verified"	"An acid phosphatase that dephosphorylates 1-naphthyl dihydrogen phosphate in the absence of potassium dihydrogen phosphate; involved in phosphate-containing compound metabolism in extracellular regions|uniprot_proteome=UP000002311"	NA	"4477-YHR215W_NumOfGenes_2"	"collapse"	"find panID based on not collapsed gene"	"4477-YHR215W_NumOfGenes_2"	"468"	"4477-YHR215W_NumOfGenes_2"	"468"	TRUE
"S000000095"	"YAR073W"	"S. cerevisiae"	"IMD1"	"IMP Dehydrogenase"	"Nonfunctional protein with homology to IMP dehydrogenase"	"Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication"	"Dubious"	NA	NA	"4478-YHR216W_NumOfGenes_6"	"collapse"	"find panID based on not collapsed gene"	"4478-YHR216W_NumOfGenes_6"	"372"	"4478-YHR216W_NumOfGenes_6"	"32"	TRUE
"S000000149"	"YBL053W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"Can't find the panID"	NA	"find panID based blast"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	"Can't find the panID"	TRUE
"S000000158"	"YBL062W"	"S. cerevisiae"	NA	NA	"Dubious open reading frame"	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	"Dubious"	NA	NA	"1933-YBL061C_NumOfGenes_3"	NA	"find panID based blast"	"1933-YBL061C_NumOfGenes_3"	"124"	"1933-YBL061C_NumOfGenes_3"	"124"	TRUE
"S000000168"	"YBL072C"	"S. cerevisiae"	"RPS8A"	"Ribosomal Protein of the Small subunit"	"Protein component of the small (40S) ribosomal subunit"	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8A has a paralog, RPS8B, that arose from the whole genome duplication"	"Verified"	"Subunit of the cytosolic small ribosomal subunit; involved in maturation of the small subunit rRNA and translation|uniprot_proteome=UP000002311"	NA	"3431-YER102W_NumOfGenes_2"	NA	"find panID based blast"	"3431-YER102W_NumOfGenes_2"	"201"	"3431-YER102W_NumOfGenes_2"	"201"	TRUE
