"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"	"Reactions of gene"	"Citations"
"FYV12"	"YOR183W"	678872	679261	"Function required for Yeast Viability"	""	""	
"RCR2"	"YDR003W"	454122	454754	"Resistance to Congo Red"	""	""	
"NSG1"	"YHR133C"	370722	371597	"NSG1"	""	""	
"FOB1"	"YDR110W"	676102	677802	"FOrk Blocking less"	""	""	
"YPR011C"	"YPR011C"	583062	584042	"YPR011C"	""	""	
"LSM8"	"YJR022W"	469784	470113	"Like SM"	""	""	
"CDC43"	"YGL155W"	214081	215211	"protein geranylgeranyltransferase type I"	""	RXN-3701	
"HXT13"	"YEL069C"	21537	23231	"HeXose Transporter"	""	""	
"JLP1"	"YLL057C"	25756	26994	"dnaJ-Like Protein"	""	""	
"VTC3"	"YPL019C"	514511	517018	"polyphosphate synthetase"	""	""	
"UFO1"	"YML088W"	92235	94241	"UV-F-box-HO"	""	""	
"NPL4"	"YBR170C"	576344	578086	"Nuclear Protein Localization"	""	""	
"MEP2"	"YNL142W"	357453	358952	"MEP2"	""	""	
"SPO74"	"YGL170C"	184153	185394	"SPOrulation"	""	""	
"PNS1"	"YOR161C"	636939	638558	"pH Nine Sensitive"	""	""	
"SHS1"	"YDL225W"	52445	54100	"Seventh Homolog of Septin"	""	""	
"GGA2"	"YHR108W"	328303	330060	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	""	""	
"SLU7"	"YDR088C"	618497	619645	"Synergistic Lethal with U5 snRNA"	""	""	
"KAR9"	"YPL269W"	33013	34947	"KARyogamy"	""	""	
"HXT8"	"YJL214W"	26887	28596	"HeXose Transporter"	""	""	
"HIS2"	"YFR025C"	203743	204750	"histidinolphosphatase"	"histidine biosynthesis"	HISTIDPHOS-RXN	
"FRD1"	"YEL047C"	65385	66797	"Fumarate ReDuctase"	""	FUMARATE-REDUCTASE-NADH-RXN	
"GRC3"	"YLL035W"	68580	70478	"GRC3"	""	""	
"MET7"	"YOR241W"	786995	788641	"folylpolyglutamate synthetase"	"folate polyglutamylation"	FORMYLTHFGLUSYNTH-RXN // RXN0-2921 // FOLYLPOLYGLUTAMATESYNTH-RXN	
"MFT1"	"YML062C"	147505	148683	"Mitochondrial Fusion Targeting"	""	""	
"YSW1"	"YBR148W"	537876	539705	"YSW1"	""	""	
"DCP2"	"YNL118C"	402652	405564	"mRNA DeCaPping"	""	""	
"RPL9A"	"YGL147C"	227754	228329	"Ribosomal Protein of the Large subunit"	""	""	
"RUP1"	"YOR138C"	584309	586324	"Rsp5-Ubp2 interacting Protein"	""	""	
"ACK1"	"YDL203C"	96082	97953	"Activator of C Kinase 1"	""	""	
"NAM8"	"YHR086W"	278153	279724	"Nuclear Accommodation of Mitochondria"	""	""	
"FMP16"	"YDR070C"	588098	588379	"Found in Mitochondrial Proteome"	""	""	
"RBD2"	"YPL246C"	84509	85297	"RBD2"	""	""	
